product_id,product_name,product_url,category_id,category_name,category_root_name,price,original_price,discount_rate,quantity_sold,rating_average,review_count,is_return_policy,is_freeship_xtra,is_authentic,image_count,video_count,is_brand,brand_name,origin,store_id,store_name,store_review_count,total_follower,is_official,cancel_by_seller_rate,cancel_by_seller_rate_status,return_rate,return_rate_status,China,Japan,Other,South Korea,Thailand,USA,Vietnam,Others
261834606,"Mua 5 Áo PHÔNG NAM NGẮN TAY CATRIO sẽ tiết kiệm được 56K_136.000đ là áo phông trắng, áo thun ngắn tay, áo lót trong cho bố, ông, người trung tuổi, vải 100̀% cotton, cổ tròn, áo lót màu trắng, mặc lót bên trong áo sơ mi, mặc ở nhà, đi ngủ rất thoáng mát",https://tiki.vn/mua-5-ao-phong-nam-ngan-tay-catrio-se-tiet-kiem-duoc-56k_136-000d-la-ao-phong-trang-ao-thun-ngan-tay-ao-lot-trong-cho-bo-ong-nguoi-trung-tuoi-vai-100-cotton-co-tron-ao-lot-mau-trang-mac-lot-ben-trong-ao-so-mi-mac-o-nha-di-ngu-rat-thoang-mat-p261834606.html?spid=261834608,917,Áo thun nam,Thời trang nam,325000.0,325000.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,CATRIO,Vietnam,52324.0,Thời trang Catrio,643.0,155.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
261829475,"Mua 2 cái ÁO PHÔNG NAM NGẮN TAY CATRIO sẽ tiết kiệm được 28K_34.000đ là áo phông trắng, áo thun ngắn tay, áo lót trong cho bố, ông, người trung tuổi, vải 100̀% cotton, cổ tròn, áo lót màu trắng, mặc lót bên trong áo sơ mi, mặc ở nhà, đi ngủ rất thoáng mát",https://tiki.vn/mua-2-cai-ao-phong-nam-ngan-tay-catrio-se-tiet-kiem-duoc-28k_34-000d-la-ao-phong-trang-ao-thun-ngan-tay-ao-lot-trong-cho-bo-ong-nguoi-trung-tuoi-vai-100-cotton-co-tron-ao-lot-mau-trang-mac-lot-ben-trong-ao-so-mi-mac-o-nha-di-ngu-rat-thoang-mat-p261829475.html?spid=261829481,917,Áo thun nam,Thời trang nam,130000.0,130000.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,CATRIO,Vietnam,52324.0,Thời trang Catrio,643.0,155.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
258379041,ÁO THUN NAM LEMAN PL01 CAO CẤP - Áo Trắng Bo Viền Đen - Size XXL (76-82kg),https://tiki.vn/ao-thun-nam-leman-pl01-cao-cap-p258379041.html?spid=258379055,917,Áo thun nam,Thời trang nam,325000.0,325000.0,0.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,Leman,Vietnam,176918.0,LEMAN Official Store,199.0,463.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
253180440,Áo Thun Nam FASVIN Vải COOLMAX Mềm Mát Co Giãn chất đẹp Hàng Nhà Máy TS23572.HN,https://tiki.vn/ao-thun-nam-fasvin-vai-coolmax-mem-mat-co-gian-chat-dep-hang-nha-may-ts23572-hn-p253180440.html?spid=253180507,917,Áo thun nam,Thời trang nam,119000.0,238000.0,50.0,13.0,4.8,5.0,1.0,1.0,1.0,8.0,0.0,1.0,Fasvin,Vietnam,159408.0,Fasvin quần áo thể thao,782.0,280.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
251560724,"NEVER GIVE UP, mã logo-g174. Áo thun nam nữ in logo đẹp. Áo phông GOKING cho cặp đôi, gia đình, đội nhóm, đồng phục công ty",https://tiki.vn/never-give-up-ma-logo-g174-ao-thun-nam-nu-in-logo-dep-ao-phong-goking-cho-cap-doi-gia-dinh-doi-nhom-dong-phuc-cong-ty-p251560724.html?spid=251561264,917,Áo thun nam,Thời trang nam,119000.0,119000.0,0.0,5.0,2.3,3.0,1.0,1.0,1.0,1.0,0.0,1.0,GOKING,Vietnam,18138.0,GOKING,9657.0,3016.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
246730077,Áo Ba Lỗ Tập Gym Nam Vải Cotton Rộng Nách SA471,https://tiki.vn/ao-ba-lo-tap-gym-nam-vai-cotton-rong-nach-sa471-p246730077.html?spid=246730097,917,Áo thun nam,Thời trang nam,99000.0,99000.0,0.0,34.0,3.0,6.0,1.0,1.0,1.0,9.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
246729940,Áo ba lỗ cổ vuông nam cá tính SA455,https://tiki.vn/ao-ba-lo-co-vuong-nam-ca-tinh-sa455-p246729940.html?spid=246729991,917,Áo thun nam,Thời trang nam,49000.0,49000.0,0.0,22.0,5.0,9.0,1.0,1.0,1.0,9.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
205991926,"TOKYO JAPAN, mã G53. Áo thun nam nữ siêu đẹp. Áo phông thoát nhiệt Goking hàng hiệu",https://tiki.vn/tokyo-japan-ma-g53-ao-thun-nam-nu-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-p205991926.html?spid=205992214,917,Áo thun nam,Thời trang nam,168000.0,168000.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,GOKING,Vietnam,18138.0,GOKING,9657.0,3016.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
193492866,Áo thun thể thao nam MRM Active Pro thấm hút mồ hôi tốt co dãn thoải mái vận động,https://tiki.vn/ao-thun-the-thao-nam-mrm-active-pro-tham-hut-mo-hoi-tot-co-dan-thoai-mai-van-dong-p193492866.html?spid=193492894,917,Áo thun nam,Thời trang nam,199000.0,199000.0,0.0,169.0,5.0,56.0,1.0,1.0,1.0,14.0,1.0,1.0,MRM Manlywear,Vietnam,55147.0,MRM Manlywear Official,12908.0,3178.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
191044896,"Áo thun polo nam, phong cách trẻ trung, lịch lãm, phù hợp tham gia các bữa tiệc - FORMEN SHOP - FMPS187",https://tiki.vn/ao-thun-polo-nam-phong-cach-tre-trung-lich-lam-phu-hop-tham-gia-cac-bua-tiec-formen-shop-fmps187-p191044896.html?spid=191044908,917,Áo thun nam,Thời trang nam,149000.0,189000.0,21.0,27.0,4.5,4.0,1.0,1.0,1.0,11.0,0.0,1.0,ARADO FASHION,Vietnam,17914.0,FORMEN SHOP,5223.0,2317.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
176251118,"Combo 2 Áo thun nam Cotton Compact Premium trẻ trung thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear",https://tiki.vn/combo-2-ao-thun-nam-cotton-compact-premium-tre-trung-tham-hut-mo-hoi-co-gian-4-chieu-mrm-manlywear-p176251118.html?spid=251275661,917,Áo thun nam,Thời trang nam,499000.0,499000.0,0.0,602.0,4.8,164.0,1.0,1.0,1.0,13.0,1.0,1.0,MRM Manlywear,Vietnam,55147.0,MRM Manlywear Official,12908.0,3178.0,1.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
